open,close,high,low,volume,begin,ticker,target_return_1d,target_direction_1d,target_return_20d,target_direction_20d,diff,weekday
81.5,81.7,83.2,81.16,29755530,2020-06-19,AFLT,0.0048959608323131,1,0.0717258261933904,1,,4
26.955,26.98,27.16,26.755,4020980,2020-06-19,RUAL,-0.0177909562638991,0,-0.0361378799110452,0,,4
3849.5,3980.0,3980.0,3832.0,867885,2020-06-19,MGNT,0.0241206030150753,1,0.1678391959798995,1,,4
180.6,176.275,181.75,176.275,53976150000,2020-06-19,VTBR,0.0087930789958869,1,0.0798468302368458,1,,4
63.56,64.22,65.33,63.38,27782640,2020-06-19,ALRS,-0.0003114294612269,0,0.0121457489878542,1,,4
1087.95,1106.75,1119.35,1080.2,359407,2020-06-19,PLZL,0.0243053986898578,1,0.2183871696408403,1,,4
194.17,195.81,196.07,193.82,45220860,2020-06-19,GAZP,-0.0077115571216995,0,-0.0461161329860578,0,,4
355.6,355.3,357.4,353.15,1733230,2020-06-19,SIBN,-0.0011258091753448,0,-0.1049817056009007,0,,4
879.8,872.2,882.6,871.6,1808768,2020-06-19,CHMF,-0.0018344416418253,0,0.0252235725750975,1,,4
5411.5,5460.0,5490.0,5389.0,1875155,2020-06-19,LKOH,0.0016483516483516,1,-0.0928571428571428,0,,4
2670.0,2686.0,2686.0,2645.0,136560,2020-06-19,PHOR,-0.0033507073715561,0,-0.0349962769918094,0,,4
1344.0,1335.4,1355.2,1329.6,106126,2020-06-19,T,0.0272577504867455,1,0.2899505766062602,1,,4
376.15,376.15,378.8,373.7,7039450,2020-06-19,ROSN,-0.0013292569453675,0,-0.0311046125216003,0,,4
116.18,115.67,116.5,115.1,13055000,2020-06-19,MOEX,0.002852943719201,1,0.077288838938359,1,,4
326.35,327.35,330.0,326.35,5396230,2020-06-19,MTSS,-0.0071788605468153,0,-0.015732396517489,0,,4
1078.4,1079.0,1082.8,1051.0,2315399,2020-06-19,NVTK,0.0022242817423541,1,0.0185356811862835,1,,4
205.44,207.0,209.2,204.55,75045510,2020-06-19,SBER,-0.0028985507246376,0,0.0421739130434781,1,,4
39.825,39.83,40.12,39.75,21798400,2020-06-19,MAGN,-0.0114235500878734,0,-0.0168214913381873,0,,4
190.5,190.04,194.14,189.2,393392,2020-06-19,GMKN,0.0062092191117659,1,-0.0328351925910334,0,,4
206.7,206.4,207.95,204.28,58664110,2020-06-22,SBER,0.0043604651162791,1,0.0499515503875969,1,3,0
26.705,26.5,26.89,26.325,6118330,2020-06-22,RUAL,0.0018867924528302,1,-0.01,0,3,0
177.0,177.825,178.74999999999997,176.14999999999998,36664210000,2020-06-22,VTBR,-0.0007029382820187,0,0.0653732602277519,1,3,0
356.45,354.9,357.75,353.2,2293460,2020-06-22,SIBN,-0.0022541561003097,0,-0.0932657086503239,0,3,0
64.38,64.2,64.47,63.15,15188510,2020-06-22,ALRS,0.0014018691588786,1,0.0115264797507788,1,3,0
195.35,194.3,195.35,192.62,36799990,2020-06-22,GAZP,0.0027277406073082,1,-0.0367987647967061,0,3,0
115.95,116.0,116.45,114.66,7624850,2020-06-22,MOEX,-0.0051724137931034,0,0.0894827586206896,1,3,0
873.2,870.6,874.0,862.2,1162866,2020-06-22,CHMF,0.0016080863772109,1,0.0298644612910636,1,3,0
2688.0,2677.0,2688.0,2646.0,64319,2020-06-22,PHOR,-0.0056032872618603,0,-0.0373552484124019,0,3,0
189.8,191.22,191.5,186.44,245623,2020-06-22,GMKN,0.0268800334693024,1,-0.0464386570442422,0,3,0
